college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,HS23111,Technical Communication I,2,HS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,MA23112,Algebra and Calculus,4,BS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,PH23131,Physics of Materials,4,BS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,GE23111,Engineering Graphics,4,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,GE23117,Heritage of Tamils,1,HS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,EE23133,Basic Electrical and Electronics Engineering,4,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,MC23112,Environmental Science and Engineering,0,MC,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,1,GE23121,Engineering Practices - Civil and Mechanical,1,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,HS23221,Technical Communication II / English for Professional Competence,1,HS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,MA23212,Differential Equation and Complex Variables,4,BS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,CY23233,Engineering Chemistry,4,BS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,GE23211,Engineering Mechanics,3,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,AE23211,Fundamentals of Aerospace Engineering,3,PC,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,GE23233,Problem Solving and Python Programming,4,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,GE23217,Tamils and Technology,1,HS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,MC23111,Indian Constitution and Freedom Movement,0,MC,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,2,GE23122,Engineering Practices - Electrical and Electronics,1,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,MA23311,Transforms and Applied Partial Differential Equations,4,BS,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,AE23331,Solid Mechanics,4,PC,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,AE23332,Fluid Mechanics and Fluid Machinery,4,PC,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,AE23333,Aero Engineering Thermodynamics,4,PC,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,CS23422,Python Programming for Machine Learning,2,ES,,core
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,OE-I,Open Elective I,3,OE,Open Elective,elective
Rajalakshmi Engineering College,REC,Aeronautical Engineering,AE,R2023,3,AE23321,Computer Aided Modelling Laboratory,2,PC,,core
