college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,HS23111,Technical Communication I,2,HS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,MA23112,Algebra and Calculus,4,BS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,GE23111,Engineering Graphics,4,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,AT23111,Production Technology I,3,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,GE23117,Heritage of Tamils,1,HS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,PH23131,Physics of Materials,4,BS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,GE23121,Engineering Practices – Civil and Mechanical,1,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,1,MC23112,Environmental Science and Engineering,0,MC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,MA23212,Differential Equations and Complex Variables,4,BS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,GE23211,Engineering Mechanics,3,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,GE23217,Tamils and Technology,1,HS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,CY23233,Engineering Chemistry,4,BS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,EE23133,Basic Electrical and Electronics Engineering,4,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,GE23231,Programming Using Python,3,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,HS23221,Technical Communication II / English for Professional Competence,1,HS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,GE23122,Engineering Practices - Electrical and Electronics,1,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,2,MC23111,Indian Constitution and Freedom Movement,0,MC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,3,MA23331,Transforms and Statistics,4,BS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,3,AT23331,Automotive Engines,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,3,AT23332,Applied Thermodynamics,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,3,AT23333,Strength of Materials for Automobile Engineers,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,3,AT23334,Production Technology II,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,3,AT23321,Computer Aided Machine Drawing Laboratory,2,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,AT23411,Electric and Hybrid Vehicles I,3,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,AT23412,Material Science and Metallurgy,3,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,AT23431,Automotive Drive Line and Chassis,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,AT23432,Fluid Mechanics and Machinery for Automobile Engineers,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,AT23433,Theory of Machines,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,CS23422,Python Programming for Machine Learning,2,ES,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,4,GE23421,Soft Skills I,1,EEC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,AT23511,Design of Machine Elements,3,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,GE23311,Fundamentals of Management for Engineers,3,HS,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,PE-I,Professional Elective I,3,PE,Professional Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,OE-I,Open Elective I,3,OE,Open Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,AT23531,Automotive Electrical and Electronics,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,AT23532,Electric and Hybrid Vehicles II,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,AT23521,Two and Three Wheelers Laboratory,1,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,AT23522,Computer Aided Vehicle Design Data Characteristics Laboratory,1,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,5,GE23521,Soft Skills II,1,EEC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,PE-II,Professional Elective II,3,PE,Professional Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,OE-II,Open Elective II,3,OE,Open Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,AT23631,Automotive System Design,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,AT23632,Vehicle Dynamics,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,AT23633,Automotive Fuels and Lubricants,4,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,GE23621,Problem Solving Techniques,1,EEC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,6,GE23627,Design Thinking and Innovation,2,EEC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23711,Automotive Pollution and Control,3,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23712,Intelligent Vehicle System,3,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23713,Automotive Safety,3,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,PE-III,Professional Elective III,3,PE,Professional Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23721,AI and ML for Automobile Engineers,2,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23722,Vehicle Maintenance Laboratory,1,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23723,Computer Aided Analysis Laboratory,1,PC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,7,AT23724,Internship,1,EEC,,core
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,8,PE-IV,Professional Elective IV,3,PE,Professional Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,8,PE-V,Professional Elective V,3,PE,Professional Elective,elective
Rajalakshmi Engineering College,REC,Automobile Engineering,AUTO,R2023,8,AT23821,Project Work,10,EEC,,core
